Employee_ID,Department,Job_Role,Gender,Age,Experience_Years,Monthly_Salary,Performance_Rating,Work_Hours_Per_Week,Training_Hours,Attrition,Job_Satisfaction
EMP00060,Sales,Executive,Female,38,18,107210.81,1,35,32,No,5
EMP00061,Finance,Consultant,Male,58,4,77504.07,1,58,16,No,2
EMP00062,HR,Executive,Male,30,1,150620.51,2,48,41,Yes,1
EMP00063,Finance,Executive,Female,45,16,49400.18,5,45,63,No,3
EMP00064,HR,Executive,Female,55,23,183837.57,5,52,37,No,2
EMP00065,HR,Consultant,Male,48,26,168269.01,4,65,90,No,5
EMP00066,Finance,Executive,Male,30,19,142175.86,2,66,62,No,2
EMP00067,HR,Developer,Male,31,1,93493.7,3,35,12,No,2
EMP00068,IT,Developer,Male,45,5,101036.43,3,69,59,No,1
EMP00069,Sales,Consultant,Male,35,9,198181.89,3,57,30,No,3
EMP00070,HR,Manager,Male,24,14,25623.49,5,42,8,No,5
EMP00071,Finance,Consultant,Male,48,8,196665.89,1,57,19,No,2
EMP00072,IT,Analyst,Male,35,19,199408.6,4,37,13,No,3
EMP00073,Sales,Manager,Male,38,9,186421.36,4,62,29,No,1
EMP00074,Finance,Consultant,Female,52,11,21852.82,2,38,42,No,2
EMP00075,Marketing,Manager,Male,41,8,153379.95,1,30,23,No,4
EMP00076,Sales,Analyst,Male,31,0,29631.42,2,60,35,Yes,2
EMP00077,Finance,Developer,Male,59,0,186489.5,5,42,0,No,4
EMP00078,IT,Analyst,Female,50,9,67849.73,1,43,55,No,4
EMP00079,IT,Developer,Male,59,1,196586.72,5,30,41,No,4
EMP00080,IT,Developer,Female,33,28,46026.56,3,47,82,Yes,5
EMP00081,Marketing,Consultant,Male,39,25,167588.72,3,62,63,No,1
EMP00082,HR,Manager,Female,50,1,73826.1,4,46,81,No,4
EMP00083,Marketing,Manager,Male,44,0,65669.36,5,67,41,No,1
EMP00084,HR,Executive,Male,29,4,117586.43,2,59,67,No,3
EMP00085,Sales,Developer,Female,45,28,179091.59,1,39,1,No,3
EMP00086,IT,Manager,Female,48,28,95088.68,5,54,41,Yes,3
EMP00087,IT,Developer,Female,58,12,145941.58,1,65,17,No,3
EMP00088,Finance,Executive,Male,35,22,158892.27,3,59,72,Yes,3
EMP00089,HR,Consultant,Female,36,14,136726.08,2,45,94,No,3
EMP00090,HR,Executive,Female,35,29,109802.14,5,51,92,No,1
EMP00091,Finance,Consultant,Male,42,16,152456.01,4,41,14,No,5
EMP00092,Marketing,Consultant,Female,53,10,169708.3,2,39,8,No,2
EMP00093,Marketing,Developer,Female,40,18,27699.81,5,36,39,No,5
EMP00094,Sales,Developer,Male,23,3,174058.84,2,60,4,No,3
EMP00095,HR,Consultant,Female,25,13,99393.44,4,45,75,No,4
EMP00096,Finance,Executive,Male,58,6,152801.41,5,36,26,Yes,3
EMP00097,Sales,Developer,Female,29,26,159748.89,2,58,41,No,2
EMP00098,HR,Analyst,Male,52,17,118263.45,1,35,27,Yes,3
EMP00099,Finance,Developer,Female,46,0,168164.54,5,54,10,No,3
EMP00100,IT,Executive,Female,59,25,44175.93,2,50,10,Yes,5
EMP00101,Marketing,Analyst,Male,44,20,156060.36,3,40,68,No,5
EMP00102,Sales,Manager,Female,44,8,163858.41,2,49,44,No,1
EMP00103,Finance,Executive,Female,29,14,65632.23,2,33,73,No,4
EMP00104,Finance,Executive,Female,28,14,28789.28,1,38,8,No,4
EMP00105,HR,Consultant,Female,46,22,28623.03,1,46,89,No,4
EMP00106,Marketing,Consultant,Female,59,12,99861.61,1,41,30,No,4
EMP00107,IT,Developer,Female,27,22,153503.85,5,49,22,No,5
EMP00108,Marketing,Developer,Female,35,27,77232.8,5,46,14,No,4
EMP00109,Sales,Analyst,Female,45,2,161489.32,3,49,16,No,3
EMP00110,Finance,Analyst,Female,21,8,69769.16,2,68,5,No,4
EMP00111,IT,Analyst,Male,48,18,82268.85,2,64,22,No,4
EMP00112,Marketing,Executive,Female,29,22,54753.57,2,68,41,No,5
EMP00113,Marketing,Analyst,Male,26,14,142503.73,2,68,94,No,3
EMP00114,Finance,Developer,Female,30,25,33438.96,2,39,83,Yes,5
EMP00115,Marketing,Manager,Female,57,27,114580.67,1,62,88,Yes,1
EMP00116,HR,Consultant,Female,28,18,81277.65,5,39,78,No,5
EMP00117,HR,Consultant,Male,54,6,74452.62,2,34,29,No,4
EMP00118,Finance,Manager,Female,30,27,169093.79,3,57,73,Yes,2
EMP00119,Marketing,Developer,Male,32,15,177677.44,3,63,72,No,5
EMP00120,IT,Consultant,Male,47,3,45699.97,3,43,56,No,2
EMP00121,Marketing,Manager,Male,29,4,155693.62,1,49,24,No,3
EMP00122,Sales,Consultant,Female,42,5,187553.14,3,49,66,No,5
EMP00123,Marketing,Developer,Male,29,7,127656.82,3,35,8,No,4
EMP00124,Sales,Consultant,Male,48,28,105925.2,3,68,88,No,3
EMP00125,HR,Developer,Male,30,19,196568.47,1,55,60,No,2
EMP00126,Marketing,Developer,Female,30,24,181573.86,2,30,36,No,3
EMP00127,Finance,Executive,Female,51,21,40570.06,5,62,84,Yes,4
EMP00128,IT,Developer,Female,45,11,42386.65,5,32,27,No,5
EMP00129,Marketing,Analyst,Female,46,3,113507.16,1,48,91,No,2
EMP00130,Marketing,Developer,Male,22,22,181519.78,4,46,0,No,5
EMP00131,Marketing,Consultant,Female,27,17,189120.94,5,58,79,No,5
EMP00132,Finance,Analyst,Male,45,11,57212.98,5,66,63,Yes,4
EMP00133,Marketing,Manager,Female,55,9,136485.4,1,55,28,No,2
EMP00134,HR,Developer,Male,45,1,48571.16,2,53,93,No,5
EMP00135,HR,Developer,Male,29,9,92399.31,4,42,79,No,2
EMP00136,Marketing,Analyst,Male,42,28,175534.63,4,46,34,No,1
EMP00137,Finance,Analyst,Male,21,13,127309.5,2,50,41,No,3
EMP00138,HR,Consultant,Male,31,1,115181.74,2,38,58,No,5
EMP00139,HR,Manager,Female,23,21,149920.39,5,48,33,Yes,5
EMP00140,Finance,Developer,Female,52,15,55334.85,5,43,49,No,3
EMP00141,IT,Consultant,Male,35,12,162453.01,5,49,91,No,3
EMP00142,Marketing,Executive,Female,44,11,163258.04,2,57,54,No,1
EMP00143,Sales,Analyst,Female,28,9,163488.19,2,68,1,No,1
EMP00144,IT,Analyst,Female,36,7,33526.19,2,49,88,No,4
EMP00145,HR,Analyst,Male,41,0,127923.61,1,54,37,No,3
EMP00146,IT,Developer,Male,22,29,66583.02,5,33,33,Yes,4
EMP00147,Finance,Executive,Male,31,25,32968.67,4,69,6,No,1
EMP00148,Marketing,Manager,Female,21,4,76761.56,3,32,46,No,3
EMP00149,Sales,Executive,Female,51,26,191004.03,3,40,88,No,2
EMP00150,Sales,Consultant,Female,29,8,21260.65,1,43,76,No,4
EMP00151,Sales,Manager,Male,33,21,153002.88,5,32,59,No,3
EMP00152,Marketing,Consultant,Female,38,11,42819.32,4,49,36,No,5
EMP00153,IT,Executive,Female,36,18,184344.05,1,30,68,No,3
EMP00154,HR,Analyst,Male,56,16,129015.13,2,49,52,No,3
EMP00155,Sales,Analyst,Female,38,9,132776.87,3,52,64,No,2
EMP00156,Marketing,Developer,Male,42,8,132798.86,1,39,73,No,2
EMP00157,IT,Executive,Male,21,27,187142.62,3,33,70,No,4
EMP00158,IT,Executive,Female,35,22,102458.3,1,63,19,No,1
EMP00159,Finance,Executive,Female,23,11,142753.74,1,50,50,No,5
EMP00160,Marketing,Executive,Male,43,9,20773.25,3,45,70,No,4
EMP00161,IT,Consultant,Female,23,29,88142.93,4,60,25,No,1
EMP00162,Sales,Analyst,Female,40,27,156110.64,3,40,70,No,2
EMP00163,HR,Manager,Male,49,25,159062.3,4,31,75,No,3
EMP00164,HR,Manager,Female,59,26,101302.19,4,68,82,Yes,3
EMP00165,IT,Analyst,Male,49,22,85624.33,2,67,91,No,3
EMP00166,HR,Manager,Male,46,17,71195.08,3,53,96,No,4
EMP00167,Sales,Analyst,Male,48,4,37454.95,3,62,62,No,5
EMP00168,Finance,Analyst,Male,49,9,192146.71,5,51,29,Yes,3
EMP00169,Marketing,Executive,Female,27,13,32839.53,1,61,53,No,2
EMP00170,HR,Manager,Female,59,7,111987.71,2,38,81,No,3
EMP00171,Marketing,Analyst,Female,50,16,124097.83,2,44,84,No,2
EMP00172,Finance,Developer,Female,39,16,90560.98,2,36,20,No,2
EMP00173,Finance,Developer,Male,59,8,139686.23,2,41,11,No,3
EMP00174,Sales,Manager,Female,25,5,142933.65,1,66,29,No,5
EMP00175,IT,Manager,Male,26,17,75344.14,3,68,48,No,5
EMP00176,Marketing,Developer,Male,55,1,55013.54,2,69,42,No,4
EMP00177,IT,Analyst,Male,50,19,37300.52,1,60,45,No,2
EMP00178,Marketing,Analyst,Female,22,0,180367.6,2,49,61,No,2
EMP00179,Finance,Analyst,Female,51,17,75485.68,1,44,39,No,1
EMP00180,Sales,Developer,Male,48,23,63977.03,3,58,45,No,5
EMP00181,IT,Analyst,Female,24,3,44325.87,5,41,43,Yes,3
EMP00182,Finance,Consultant,Female,50,22,83838.49,3,52,43,No,4
EMP00183,Finance,Consultant,Male,40,10,168251.72,4,56,59,Yes,2
EMP00184,HR,Executive,Male,25,15,128154.05,1,55,9,Yes,5
EMP00185,Finance,Consultant,Female,39,29,33532.37,3,30,44,No,3
EMP00186,Sales,Consultant,Female,43,1,46759.6,5,31,65,No,4
EMP00187,Sales,Manager,Female,40,18,49909.01,1,52,78,Yes,3
EMP00188,IT,Developer,Female,22,1,38544.85,1,45,9,No,1
EMP00189,Marketing,Executive,Male,40,9,192143.02,2,62,92,No,5
EMP00190,Sales,Manager,Male,51,22,173206.99,3,49,86,No,4
EMP00191,HR,Developer,Female,39,10,28981.94,3,32,26,No,5
EMP00192,IT,Consultant,Female,48,23,88357.03,4,60,78,Yes,5
EMP00193,HR,Analyst,Female,41,28,93034.63,3,65,5,No,5
EMP00194,Marketing,Analyst,Male,40,11,116974.83,2,59,97,No,1
EMP00195,Sales,Consultant,Male,57,17,117002.56,1,48,60,Yes,2
EMP00196,Sales,Developer,Female,32,11,183940.1,3,46,32,No,2
EMP00197,Marketing,Manager,Female,36,29,129620.47,1,64,8,No,3
EMP00198,HR,Manager,Male,41,29,36216.19,4,49,6,No,1
EMP00199,IT,Executive,Female,36,21,126306.96,1,39,18,No,1
EMP00200,HR,Executive,Female,49,28,176178.18,2,46,54,No,3
EMP00201,Finance,Analyst,Male,23,29,169408.12,2,44,6,No,4
EMP00202,HR,Analyst,Male,32,6,102236.86,1,39,61,No,4
EMP00203,Marketing,Analyst,Female,47,8,141243.5,3,48,54,Yes,1
EMP00204,HR,Developer,Female,28,0,188260.34,4,60,93,No,1
EMP00205,HR,Manager,Male,40,25,87481.82,2,38,38,Yes,3
EMP00206,IT,Executive,Male,21,27,148041.22,3,31,10,No,4
EMP00207,IT,Executive,Male,53,28,190109.45,4,37,56,No,2
EMP00208,Finance,Manager,Male,30,7,97235.77,3,58,62,Yes,1
EMP00209,Finance,Executive,Male,56,1,99014.68,3,59,91,No,5
EMP00210,Marketing,Consultant,Female,48,13,122666.22,2,63,43,No,2
EMP00211,Finance,Developer,Female,51,15,108562.05,5,31,32,Yes,5
EMP00212,Sales,Manager,Male,57,10,198030.27,1,62,21,No,2
EMP00213,Finance,Developer,Female,41,19,178706.44,5,62,92,No,5
EMP00214,IT,Consultant,Female,45,17,94473.31,1,32,2,No,1
EMP00215,HR,Developer,Female,54,6,142084.48,3,57,71,No,5
EMP00216,HR,Developer,Female,33,11,77206.67,1,59,64,No,5
EMP00217,IT,Analyst,Male,35,11,56812.92,1,66,29,No,5
EMP00218,Marketing,Analyst,Female,37,29,57132.37,1,54,91,No,3
EMP00219,Sales,Analyst,Male,54,15,156415.57,4,30,69,No,5
EMP00220,IT,Analyst,Male,45,5,99076.51,2,64,28,Yes,1
EMP00221,IT,Analyst,Male,37,25,181626.26,5,49,6,Yes,3
EMP00222,HR,Developer,Female,52,5,128005.32,4,30,71,No,3
EMP00223,Sales,Analyst,Male,21,22,56973.18,1,65,38,No,3
EMP00224,IT,Developer,Female,33,14,100315.87,4,46,54,No,3
EMP00225,IT,Executive,Male,24,1,70574.24,1,43,80,No,3
EMP00226,Sales,Developer,Male,43,15,75569.3,4,56,49,No,4
EMP00227,Marketing,Analyst,Female,33,3,26143.01,5,53,0,No,5
EMP00228,HR,Executive,Male,43,1,43755.73,1,56,31,No,4
EMP00229,Finance,Executive,Female,21,16,192757.1,2,57,77,No,1
EMP00230,Marketing,Executive,Male,55,5,48204.61,4,55,93,No,3
EMP00231,HR,Developer,Female,34,22,118011.08,2,38,95,No,3
EMP00232,Sales,Executive,Female,39,28,45377.45,2,32,96,No,4
EMP00233,Finance,Consultant,Female,42,8,55830.35,5,51,69,No,5
EMP00234,Finance,Executive,Male,36,10,72546.35,4,37,7,Yes,3
EMP00235,Finance,Analyst,Male,32,26,61440.5,2,62,7,Yes,2
EMP00236,IT,Consultant,Female,55,25,141893.12,1,64,37,No,3
EMP00237,HR,Developer,Female,22,23,33305.75,1,51,49,No,1
EMP00238,Finance,Manager,Female,23,7,42688.07,2,37,94,No,2
EMP00239,Sales,Executive,Male,21,22,143382.61,4,37,6,No,2
EMP00240,Finance,Developer,Male,33,17,121748.58,3,34,59,No,4
EMP00241,HR,Analyst,Male,34,7,33472.71,2,36,91,No,1
EMP00242,IT,Executive,Female,36,7,122672.97,4,39,12,Yes,1
EMP00243,Finance,Developer,Female,33,1,111170.85,2,51,46,Yes,2
EMP00244,IT,Manager,Female,26,28,20775.76,4,50,32,Yes,2
EMP00245,Sales,Consultant,Female,24,24,63309.96,3,54,55,Yes,5
EMP00246,Marketing,Developer,Male,38,18,30841.71,5,30,91,No,4
EMP00247,IT,Analyst,Female,23,25,75635.76,5,50,66,No,5
EMP00248,Sales,Developer,Female,54,2,173316.05,3,53,90,No,2
EMP00249,Sales,Analyst,Female,24,8,88681.08,4,30,29,Yes,1
EMP00250,HR,Analyst,Female,58,14,60187.16,4,69,20,No,4
EMP00251,Finance,Executive,Female,24,16,122817.66,1,47,16,No,2
EMP00252,Marketing,Executive,Female,27,26,105865.63,5,33,6,No,5
EMP00253,Sales,Developer,Male,56,19,189701.74,4,48,21,No,4
EMP00254,IT,Executive,Male,41,3,156280.57,5,49,99,No,5
EMP00255,HR,Analyst,Female,44,8,43419.65,4,34,91,No,1
EMP00256,Sales,Developer,Female,30,10,153896.4,2,51,51,No,1
EMP00257,Sales,Analyst,Male,31,8,103804.86,4,40,22,No,4
EMP00258,IT,Manager,Female,59,7,41726.54,5,47,8,No,3
EMP00259,Marketing,Consultant,Female,22,16,72053.8,5,68,70,No,5
EMP00260,Finance,Manager,Male,33,18,86684.11,4,36,3,No,1
EMP00261,Sales,Consultant,Male,25,6,108884.45,4,69,96,No,4
EMP00262,Marketing,Developer,Male,57,25,93256.64,3,34,49,No,3
EMP00263,Sales,Executive,Female,30,9,83090.0,1,44,25,No,4
EMP00264,Marketing,Developer,Male,57,7,197659.99,3,52,94,Yes,5
EMP00265,Sales,Developer,Male,25,12,78889.83,4,62,62,No,2
EMP00266,Finance,Developer,Female,43,28,76439.39,3,33,91,No,5
EMP00267,Sales,Manager,Male,37,18,141615.02,4,42,89,No,4
EMP00268,Marketing,Executive,Male,57,3,150978.42,2,44,25,No,4
EMP00269,IT,Developer,Male,23,9,197558.44,5,53,67,No,4
EMP00270,Marketing,Executive,Male,55,15,131189.37,3,55,93,No,3
EMP00271,Sales,Executive,Male,53,24,131337.93,2,49,70,No,1
EMP00272,Finance,Consultant,Female,43,6,96031.08,4,64,48,No,4
EMP00273,Marketing,Executive,Female,49,27,155215.33,3,61,75,No,4
EMP00274,Finance,Manager,Male,25,10,67088.5,4,30,27,Yes,2
EMP00275,IT,Consultant,Female,50,17,118724.18,3,46,22,No,2
EMP00276,HR,Executive,Male,58,5,92959.58,2,33,31,No,3
EMP00277,HR,Analyst,Male,54,14,188563.44,1,38,53,No,1
EMP00278,HR,Developer,Male,39,6,116884.09,5,51,96,No,1
EMP00279,IT,Executive,Male,53,13,26948.24,5,41,85,No,3
EMP00280,Marketing,Developer,Male,33,17,157054.8,2,59,71,No,2
EMP00281,Marketing,Consultant,Female,36,4,195435.77,4,36,84,No,4
EMP00282,Finance,Consultant,Female,43,19,108210.87,3,50,90,No,2
EMP00283,HR,Executive,Male,33,17,43408.81,2,41,55,No,1
EMP00284,Sales,Analyst,Male,59,1,152893.79,3,41,23,No,5
EMP00285,Sales,Developer,Female,48,20,98145.56,5,32,69,No,5
EMP00286,Marketing,Executive,Male,28,20,111566.74,5,63,97,No,3
EMP00287,Marketing,Manager,Female,41,23,29716.84,1,51,6,No,3
EMP00288,Marketing,Consultant,Female,54,5,120102.47,3,35,79,No,5
EMP00289,HR,Consultant,Male,30,4,157161.35,2,58,3,No,4
EMP00290,IT,Developer,Female,23,10,148151.71,1,55,39,No,4
EMP00291,HR,Developer,Female,50,8,23790.64,4,65,14,No,5
EMP00292,Marketing,Analyst,Male,57,19,127729.03,1,48,9,No,5
EMP00293,Finance,Developer,Female,44,16,181490.89,2,69,99,No,5
EMP00294,Marketing,Manager,Female,50,3,75641.91,5,65,61,No,5
EMP00295,Sales,Manager,Male,25,13,126778.88,5,64,34,Yes,1
EMP00296,Finance,Manager,Male,21,22,177578.12,1,65,3,No,5
EMP00297,HR,Developer,Male,59,17,37521.51,4,42,85,No,3
EMP00298,Sales,Executive,Female,59,26,74189.59,4,37,66,Yes,2
EMP00299,Sales,Manager,Male,21,14,30257.69,1,48,74,No,1
EMP00300,Marketing,Analyst,Female,29,11,187232.38,4,66,77,No,1
EMP00301,Finance,Manager,Male,53,11,134278.6,5,48,2,Yes,3
EMP00302,Finance,Executive,Male,30,9,92248.36,5,40,63,Yes,3
EMP00303,Sales,Consultant,Male,35,13,38087.01,4,67,82,No,3
EMP00304,Marketing,Analyst,Female,32,1,110886.16,3,42,82,No,1
EMP00305,HR,Consultant,Male,29,1,167646.46,2,61,58,No,4
EMP00306,Sales,Developer,Female,30,18,144603.3,4,41,98,No,3
EMP00307,Sales,Executive,Female,49,6,195687.3,4,43,28,Yes,5
EMP00308,Finance,Consultant,Male,43,6,88668.67,5,31,50,No,4
EMP00309,IT,Executive,Female,59,0,109711.09,2,68,75,Yes,5
EMP00310,Sales,Manager,Male,36,14,56032.57,2,44,25,No,4
EMP00311,IT,Analyst,Male,48,0,171645.26,1,52,55,No,2
EMP00312,HR,Analyst,Male,31,19,29355.97,5,62,34,No,4
EMP00313,Marketing,Consultant,Female,28,15,24934.24,5,44,55,Yes,1
EMP00314,HR,Consultant,Male,57,29,130746.21,1,53,34,No,1
EMP00315,HR,Executive,Male,58,7,92509.89,5,36,44,No,1
EMP00316,Marketing,Analyst,Male,40,18,154655.2,5,65,6,No,3
EMP00317,IT,Consultant,Male,47,18,180236.75,1,30,41,No,1
EMP00318,Finance,Developer,Male,25,14,154888.89,1,41,3,Yes,5
EMP00319,Sales,Analyst,Female,52,27,50649.98,1,59,50,No,5
EMP00320,HR,Consultant,Male,46,2,134353.07,4,47,27,No,4
EMP00321,Sales,Developer,Male,50,23,84177.42,1,43,3,No,4
EMP00322,Marketing,Analyst,Female,44,8,151254.28,1,36,53,No,4
EMP00323,IT,Developer,Male,49,12,90837.23,5,45,7,No,4
EMP00324,Marketing,Manager,Female,31,6,58026.89,2,68,27,No,4
EMP00325,IT,Consultant,Female,32,20,82965.83,2,44,58,No,4
EMP00326,HR,Manager,Male,58,20,71057.27,1,31,92,Yes,3
EMP00327,IT,Consultant,Male,53,13,105174.45,4,56,10,No,2
EMP00328,Finance,Developer,Female,55,26,120618.43,4,67,77,No,4
EMP00329,Marketing,Manager,Male,37,27,43543.13,5,68,35,Yes,5
EMP00330,Sales,Analyst,Male,28,20,139868.69,2,36,36,No,5
EMP00331,HR,Executive,Male,49,22,65272.27,4,34,47,No,3
EMP00332,Marketing,Manager,Male,21,26,70175.78,1,55,68,No,2
EMP00333,HR,Manager,Male,30,16,53467.71,3,54,62,Yes,3
EMP00334,HR,Analyst,Male,21,11,172585.91,4,58,42,No,4
EMP00335,HR,Manager,Male,42,12,26304.46,3,69,94,No,4
EMP00336,Sales,Consultant,Male,54,25,168653.57,2,53,74,No,5
EMP00337,Sales,Analyst,Male,23,5,117210.27,4,43,33,No,5
EMP00338,Sales,Consultant,Male,39,6,52837.5,1,30,80,No,4
EMP00339,Finance,Manager,Male,30,29,134853.97,1,44,23,No,1
EMP00340,Finance,Analyst,Female,36,28,173833.94,2,61,7,No,1
EMP00341,Sales,Developer,Male,25,24,25399.75,4,35,93,No,4
EMP00342,HR,Analyst,Female,29,21,57755.81,5,34,70,No,1
EMP00343,Finance,Consultant,Female,24,17,42295.99,4,37,74,No,2
EMP00344,Sales,Executive,Male,30,12,39440.76,3,69,15,No,3
EMP00345,HR,Executive,Male,21,20,95529.43,3,47,24,No,1
EMP00346,Finance,Analyst,Male,24,16,193555.78,3,39,54,No,1
EMP00347,Finance,Executive,Female,59,3,192339.65,4,64,55,No,1
EMP00348,Finance,Developer,Female,53,14,139008.85,5,42,65,Yes,4
EMP00349,Sales,Executive,Male,31,28,65399.83,4,50,66,No,5
EMP00350,Finance,Analyst,Male,37,8,57542.35,3,41,27,No,3
EMP00351,Marketing,Consultant,Male,41,11,104399.92,4,47,10,No,5
EMP00352,Sales,Executive,Male,46,4,54921.59,2,65,44,No,2
EMP00353,IT,Analyst,Male,49,13,22889.67,1,58,95,No,2
EMP00354,HR,Developer,Female,29,22,198096.8,2,45,4,No,5
EMP00355,Sales,Manager,Female,34,20,180051.17,2,68,31,No,2
EMP00356,Marketing,Executive,Female,41,7,87891.85,3,32,32,No,4
EMP00357,HR,Consultant,Male,43,25,52924.64,5,34,33,No,4
EMP00358,Marketing,Developer,Male,55,2,182403.75,3,56,78,No,3
EMP00359,Marketing,Developer,Male,33,21,167712.3,2,39,27,Yes,3
EMP00360,Finance,Consultant,Male,24,13,109193.77,1,61,44,No,2
EMP00361,Finance,Developer,Male,22,3,59700.39,5,31,19,No,3
EMP00362,HR,Executive,Female,36,0,88953.07,5,68,2,No,3
EMP00363,Marketing,Manager,Female,21,4,124334.18,3,63,26,No,4
EMP00364,Marketing,Developer,Female,33,29,126081.63,2,41,31,No,4
EMP00365,Finance,Consultant,Female,34,3,173961.43,2,68,91,No,1
EMP00366,Sales,Analyst,Male,52,10,177742.57,5,48,8,No,2
EMP00367,IT,Manager,Female,56,23,28849.31,5,32,16,No,5
EMP00368,HR,Developer,Male,24,20,31424.77,2,53,99,No,5
EMP00369,Finance,Analyst,Male,21,28,115944.52,4,68,52,No,2
EMP00370,Marketing,Developer,Male,34,24,93242.85,3,30,27,No,3
EMP00371,Marketing,Developer,Male,57,14,49284.97,4,30,97,No,3
EMP00372,Finance,Analyst,Male,52,8,168006.08,4,37,97,Yes,2
EMP00373,HR,Developer,Female,41,5,149118.25,4,35,59,Yes,3
EMP00374,Marketing,Consultant,Female,50,28,146877.53,5,53,82,No,1
EMP00375,HR,Executive,Female,31,12,28809.29,5,61,36,No,4
EMP00376,HR,Consultant,Male,56,9,46029.11,3,54,53,No,3
EMP00377,Finance,Analyst,Female,27,12,97980.85,5,33,48,Yes,2
