Order_ID,Order_Date,Region,Country,Category,Sub_Category,Customer_Age,Gender,Sales,Quantity,Discount,Profit
ORD000044,2024-08-25,West,Bangladesh,Electronics,Chair,53,Male,257.56,9,0.4,918.2
ORD000045,2024-11-23,North,UK,Furniture,Printer,34,Female,3339.57,4,0.15,-154.48
ORD000046,2024-04-15,North,USA,Clothing,Printer,25,Male,4708.93,4,0.05,968.02
ORD000047,2024-08-07,South,UK,Clothing,Table,62,Male,1756.87,8,0.13,599.97
ORD000048,2025-05-30,North,India,Electronics,Printer,47,Female,2279.89,4,0.12,840.82
ORD000049,2023-08-18,South,USA,Clothing,Printer,52,Male,1858.62,3,0.14,1367.17
ORD000050,2023-08-28,West,USA,Clothing,Shirt,54,Male,1208.06,5,0.23,1084.11
ORD000051,2024-07-18,South,India,Clothing,Printer,24,Male,2083.21,3,0.26,686.62
ORD000052,2025-11-02,West,UK,Office Supplies,Printer,22,Female,434.68,8,0.19,699.51
ORD000053,2023-06-07,North,India,Furniture,Printer,39,Female,1075.38,9,0.32,50.82
ORD000054,2024-06-16,South,UK,Office Supplies,Laptop,63,Male,141.36,5,0.22,-191.43
ORD000055,2024-12-28,East,Bangladesh,Office Supplies,Phone,32,Female,1347.17,1,0.23,1024.42
ORD000056,2022-10-03,North,USA,Electronics,Phone,54,Male,748.88,3,0.37,413.69
ORD000057,2025-06-14,East,India,Furniture,Table,20,Male,150.03,1,0.31,623.81
ORD000058,2024-09-14,East,USA,Office Supplies,Laptop,55,Male,4741.04,2,0.28,1463.76
ORD000059,2024-06-04,East,Canada,Furniture,Phone,56,Male,3053.49,3,0.08,657.38
ORD000060,2024-02-17,West,Bangladesh,Electronics,Phone,40,Female,3645.01,3,0.18,867.52
ORD000061,2023-12-29,West,Canada,Furniture,Shirt,19,Female,2819.62,4,0.03,1392.24
ORD000062,2024-09-27,East,Bangladesh,Office Supplies,Phone,22,Female,4484.83,9,0.15,1404.52
ORD000063,2022-03-02,West,India,Clothing,Printer,64,Male,932.64,2,0.11,15.17
ORD000064,2024-09-22,South,Canada,Office Supplies,Table,38,Female,4590.84,7,0.2,108.7
ORD000065,2022-06-30,South,Canada,Office Supplies,Printer,63,Female,3168.66,8,0.4,1068.04
ORD000066,2023-01-31,East,USA,Electronics,Laptop,31,Female,1964.41,5,0.27,751.87
ORD000067,2025-05-21,West,USA,Electronics,Shirt,52,Female,1894.99,6,0.06,40.48
ORD000068,2025-09-28,South,Canada,Office Supplies,Table,56,Male,3744.03,7,0.19,-167.35
ORD000069,2023-11-27,West,Bangladesh,Electronics,Laptop,23,Male,3361.85,1,0.39,154.5
ORD000070,2023-12-25,West,USA,Electronics,Phone,36,Male,367.43,7,0.24,396.06
ORD000071,2023-09-14,North,USA,Electronics,Table,40,Male,1461.64,8,0.23,1277.03
ORD000072,2025-11-01,North,Bangladesh,Electronics,Phone,22,Female,3188.45,1,0.05,-4.14
ORD000073,2024-06-05,West,USA,Clothing,Shirt,31,Male,2785.55,1,0.04,652.69
ORD000074,2022-03-23,North,India,Clothing,Chair,21,Male,4950.21,9,0.24,1123.54
ORD000075,2022-03-27,East,USA,Clothing,Phone,47,Male,4103.3,3,0.35,936.59
ORD000076,2024-10-01,North,Bangladesh,Electronics,Phone,56,Male,3930.98,7,0.29,1406.56
ORD000077,2024-06-05,South,Canada,Clothing,Chair,43,Male,767.11,4,0.25,1309.0
ORD000078,2025-03-15,East,India,Clothing,Phone,59,Female,2141.01,9,0.37,-47.33
ORD000079,2024-03-17,North,India,Furniture,Phone,34,Male,4601.1,5,0.01,111.11
ORD000080,2022-12-04,West,UK,Electronics,Table,64,Male,964.76,3,0.11,848.09
ORD000081,2022-11-13,South,India,Electronics,Laptop,63,Female,1572.08,2,0.09,1209.8
ORD000082,2025-12-02,East,UK,Office Supplies,Table,42,Female,941.42,3,0.07,-153.91
ORD000083,2022-01-14,North,Canada,Clothing,Laptop,48,Male,763.56,6,0.2,322.53
ORD000084,2025-02-08,South,UK,Office Supplies,Laptop,26,Female,3192.19,4,0.33,949.05
ORD000085,2025-10-20,West,Bangladesh,Electronics,Shirt,53,Female,1498.4,7,0.36,338.19
ORD000086,2024-08-27,South,USA,Clothing,Laptop,60,Male,4963.98,4,0.11,-21.74
ORD000087,2025-04-29,South,UK,Electronics,Laptop,61,Female,4063.68,1,0.33,627.25
ORD000088,2025-08-18,South,Bangladesh,Furniture,Phone,35,Female,2590.09,8,0.31,480.36
ORD000089,2024-09-18,West,UK,Clothing,Shirt,24,Female,2652.21,9,0.3,316.97
ORD000090,2025-05-12,East,USA,Office Supplies,Phone,38,Male,2507.03,3,0.2,1138.87
ORD000091,2024-11-30,South,Canada,Office Supplies,Laptop,42,Female,77.79,1,0.35,106.11
ORD000092,2024-07-16,North,USA,Clothing,Laptop,28,Male,2338.76,9,0.11,910.38
ORD000093,2024-03-05,West,Bangladesh,Office Supplies,Printer,27,Female,4794.36,4,0.06,71.03
ORD000094,2025-06-09,East,USA,Furniture,Shirt,53,Female,2461.95,1,0.13,1390.92
ORD000095,2025-04-29,South,Bangladesh,Furniture,Chair,57,Male,4302.51,3,0.09,128.09
ORD000096,2022-06-10,South,UK,Furniture,Laptop,59,Female,3802.24,5,0.13,-196.08
ORD000097,2023-04-17,West,USA,Electronics,Chair,60,Female,992.76,3,0.2,622.48
ORD000098,2022-08-27,South,India,Clothing,Table,51,Male,2713.04,4,0.13,1332.22
ORD000099,2022-12-01,West,Canada,Clothing,Table,42,Male,3285.71,6,0.32,654.72
ORD000100,2023-12-07,West,India,Furniture,Table,58,Male,3217.88,6,0.02,1152.12
ORD000101,2022-04-19,West,Canada,Office Supplies,Table,25,Female,3528.46,2,0.05,744.88
ORD000102,2025-03-21,West,India,Electronics,Shirt,60,Male,4483.64,6,0.01,726.65
ORD000103,2025-08-18,North,India,Office Supplies,Chair,36,Female,765.17,7,0.4,479.2
ORD000104,2023-12-24,East,India,Clothing,Table,45,Male,3300.31,6,0.15,295.37
ORD000105,2025-10-04,West,Bangladesh,Clothing,Laptop,25,Male,3155.36,1,0.27,815.51
ORD000106,2025-05-09,South,India,Electronics,Phone,37,Female,2650.28,5,0.21,88.27
ORD000107,2022-09-16,West,Canada,Electronics,Printer,21,Female,4508.08,5,0.14,1345.7
ORD000108,2024-02-25,East,USA,Electronics,Table,24,Female,4716.56,1,0.1,312.96
ORD000109,2025-08-29,North,Canada,Furniture,Chair,28,Male,2551.33,2,0.13,897.76
ORD000110,2023-09-09,East,India,Clothing,Laptop,64,Male,3248.33,6,0.19,970.5
ORD000111,2023-11-22,South,India,Clothing,Printer,40,Male,2715.38,1,0.02,-179.34
ORD000112,2024-09-11,West,India,Clothing,Chair,46,Female,4897.88,4,0.05,864.23
ORD000113,2023-01-15,West,Canada,Office Supplies,Phone,25,Male,536.65,2,0.13,-162.62
ORD000114,2024-12-18,West,UK,Clothing,Table,61,Male,1199.13,7,0.07,-182.75
ORD000115,2023-04-17,North,UK,Furniture,Printer,35,Male,1193.81,9,0.36,1010.11
ORD000116,2025-07-06,North,Bangladesh,Electronics,Table,21,Female,536.2,7,0.07,-196.56
ORD000117,2023-01-21,East,UK,Furniture,Shirt,28,Female,4438.78,4,0.14,-13.8
ORD000118,2023-01-18,North,Canada,Office Supplies,Shirt,50,Male,1815.44,5,0.12,756.85
ORD000119,2024-01-13,North,India,Office Supplies,Table,39,Male,3471.7,4,0.29,346.19
ORD000120,2024-07-08,North,Bangladesh,Electronics,Phone,62,Female,851.32,1,0.09,-163.81
ORD000121,2023-07-15,East,India,Office Supplies,Printer,41,Female,1554.7,3,0.2,1013.63
ORD000122,2022-08-27,North,Canada,Electronics,Phone,64,Male,1613.2,7,0.37,255.05
ORD000123,2023-01-03,North,Bangladesh,Office Supplies,Phone,56,Male,979.21,2,0.05,762.03
ORD000124,2022-05-28,West,India,Furniture,Shirt,34,Female,1489.83,9,0.21,1064.44
ORD000125,2024-06-19,East,USA,Furniture,Chair,55,Male,323.35,7,0.02,421.29
ORD000126,2025-12-01,East,Canada,Office Supplies,Table,18,Male,265.96,3,0.2,-134.87
ORD000127,2023-10-06,East,India,Electronics,Chair,62,Female,4807.62,4,0.26,554.31
ORD000128,2024-03-03,North,Bangladesh,Office Supplies,Phone,45,Female,4068.73,8,0.29,118.55
ORD000129,2025-08-08,South,India,Office Supplies,Shirt,38,Male,3004.39,4,0.37,743.88
ORD000130,2023-10-20,East,India,Office Supplies,Phone,61,Male,2754.47,1,0.16,-101.15
ORD000131,2022-10-14,East,Bangladesh,Clothing,Table,36,Female,3261.91,9,0.04,893.02
ORD000132,2024-07-22,North,USA,Office Supplies,Chair,55,Male,1994.97,6,0.23,-171.0
ORD000133,2023-05-31,North,UK,Clothing,Phone,48,Male,3699.29,8,0.03,995.96
ORD000134,2024-03-13,South,USA,Electronics,Chair,52,Male,1792.47,3,0.31,1105.6
ORD000135,2025-02-14,North,UK,Electronics,Phone,34,Female,1738.37,4,0.33,406.01
ORD000136,2023-07-01,North,Canada,Electronics,Table,18,Male,202.64,1,0.33,510.92
ORD000137,2024-12-28,South,Bangladesh,Office Supplies,Phone,62,Male,4335.55,1,0.21,428.72
ORD000138,2025-11-03,North,UK,Clothing,Table,34,Female,2735.07,1,0.38,1376.57
ORD000139,2024-05-20,North,USA,Clothing,Laptop,64,Male,252.53,9,0.4,438.47
ORD000140,2025-06-23,East,Canada,Electronics,Printer,22,Male,1694.25,1,0.26,641.35
ORD000141,2022-07-29,South,USA,Office Supplies,Table,64,Female,3585.38,1,0.03,686.68
ORD000142,2025-12-14,East,USA,Clothing,Phone,43,Female,3437.79,8,0.29,1222.23
ORD000143,2022-10-19,East,USA,Office Supplies,Shirt,23,Female,2175.79,8,0.25,480.14
ORD000144,2024-03-08,North,UK,Furniture,Printer,51,Female,2205.28,7,0.09,347.7
ORD000145,2024-05-19,North,UK,Clothing,Table,37,Male,882.24,7,0.21,629.47
ORD000146,2023-06-29,North,Canada,Furniture,Table,18,Female,323.75,7,0.28,22.13
ORD000147,2025-05-05,South,UK,Office Supplies,Shirt,32,Female,2548.62,8,0.28,1410.49
ORD000148,2024-01-29,East,USA,Furniture,Printer,21,Male,2844.9,8,0.16,238.53
ORD000149,2025-01-26,North,Canada,Clothing,Phone,33,Female,4774.21,2,0.08,446.54
ORD000150,2022-01-30,West,USA,Electronics,Shirt,54,Female,4961.83,2,0.17,1009.37
ORD000151,2025-07-03,West,USA,Office Supplies,Phone,40,Female,1168.26,3,0.04,586.48
ORD000152,2022-02-26,North,Bangladesh,Electronics,Chair,51,Female,4474.85,2,0.28,1270.61
ORD000153,2024-05-21,North,UK,Clothing,Table,38,Male,4892.71,5,0.16,1261.14
ORD000154,2023-08-25,West,Canada,Electronics,Table,34,Female,3040.07,5,0.22,-23.41
ORD000155,2024-04-02,North,UK,Electronics,Laptop,47,Male,3943.55,2,0.33,-77.46
ORD000156,2022-10-09,West,UK,Electronics,Shirt,21,Male,1788.99,3,0.12,42.79
ORD000157,2025-09-08,South,Bangladesh,Office Supplies,Chair,50,Female,1893.69,1,0.05,1364.66
ORD000158,2024-07-08,North,India,Office Supplies,Printer,52,Male,1311.42,9,0.28,1004.2
ORD000159,2025-07-30,East,UK,Electronics,Chair,46,Female,62.91,6,0.17,1128.18
ORD000160,2024-12-21,South,Canada,Clothing,Printer,42,Male,3877.84,3,0.08,829.29
ORD000161,2022-09-05,South,Bangladesh,Clothing,Chair,22,Male,2678.54,9,0.31,51.62
ORD000162,2024-06-13,East,UK,Furniture,Table,58,Male,4643.13,5,0.35,1286.1
ORD000163,2025-08-08,East,India,Clothing,Printer,38,Male,3448.17,3,0.4,10.0
ORD000164,2022-05-18,South,USA,Clothing,Phone,25,Male,1483.45,4,0.28,63.69
ORD000165,2025-05-07,South,India,Electronics,Chair,30,Male,900.79,6,0.15,330.43
ORD000166,2023-12-12,South,UK,Office Supplies,Chair,35,Female,3213.31,4,0.03,486.14
ORD000167,2025-08-14,North,Bangladesh,Office Supplies,Shirt,32,Male,2093.36,7,0.33,637.62
ORD000168,2025-04-29,North,USA,Office Supplies,Printer,44,Female,2557.73,5,0.38,725.84
ORD000169,2025-03-03,South,USA,Clothing,Shirt,62,Female,3353.45,2,0.17,453.02
ORD000170,2022-03-19,South,India,Clothing,Laptop,41,Male,4019.78,2,0.2,315.63
ORD000171,2022-04-13,West,UK,Electronics,Laptop,19,Male,2673.76,1,0.39,376.08
ORD000172,2024-12-04,East,UK,Clothing,Phone,29,Male,1324.04,9,0.01,-16.79
ORD000173,2023-05-29,East,India,Furniture,Chair,60,Female,146.09,3,0.03,1439.5
ORD000174,2022-07-24,East,India,Furniture,Printer,48,Female,4665.6,1,0.14,630.21
ORD000175,2024-11-25,East,India,Electronics,Phone,51,Male,2930.35,5,0.18,73.9
ORD000176,2024-07-20,North,UK,Clothing,Table,41,Male,1254.75,5,0.11,1433.05
ORD000177,2022-12-28,North,Canada,Furniture,Laptop,23,Female,986.31,2,0.14,1190.95
ORD000178,2023-09-27,East,Canada,Clothing,Table,43,Male,3474.93,6,0.32,1068.74
ORD000179,2025-01-08,North,Bangladesh,Office Supplies,Laptop,21,Male,3753.13,6,0.18,1499.49
ORD000180,2023-05-24,North,USA,Furniture,Table,19,Female,1534.8,2,0.08,674.62
ORD000181,2023-01-11,West,UK,Office Supplies,Table,33,Female,698.92,9,0.02,566.9
ORD000182,2022-06-09,North,UK,Electronics,Phone,47,Female,3658.46,9,0.05,-105.93
ORD000183,2023-05-26,North,UK,Furniture,Phone,27,Female,2013.09,5,0.36,1333.31
ORD000184,2025-12-11,West,India,Clothing,Chair,37,Female,1484.05,9,0.39,1211.19
ORD000185,2023-04-20,East,UK,Clothing,Laptop,42,Male,2178.43,9,0.06,254.25
ORD000186,2024-03-17,South,UK,Furniture,Printer,60,Male,3272.15,2,0.04,273.77
ORD000187,2022-08-20,East,UK,Clothing,Phone,51,Male,633.42,2,0.17,497.62
ORD000188,2024-10-30,East,USA,Clothing,Chair,25,Female,2404.27,4,0.07,816.52
ORD000189,2025-02-10,North,Canada,Furniture,Shirt,45,Male,1837.69,8,0.24,966.08
ORD000190,2022-09-20,West,Bangladesh,Clothing,Chair,39,Male,1858.7,8,0.28,-175.98
ORD000191,2025-12-09,North,Bangladesh,Clothing,Phone,23,Male,3428.02,1,0.19,279.67
ORD000192,2024-09-12,East,Bangladesh,Clothing,Laptop,38,Female,4235.61,9,0.28,1063.45
ORD000193,2022-09-13,East,India,Office Supplies,Phone,62,Female,1671.75,7,0.14,1293.05
ORD000194,2025-10-27,East,Bangladesh,Furniture,Printer,18,Female,902.17,2,0.31,414.96
ORD000195,2022-03-25,South,UK,Electronics,Shirt,21,Female,488.97,2,0.27,242.71
ORD000196,2022-12-27,South,UK,Clothing,Printer,57,Male,2829.47,8,0.09,1387.8
ORD000197,2025-03-18,West,Bangladesh,Clothing,Table,24,Male,306.38,9,0.16,1286.14
ORD000198,2022-06-06,North,USA,Office Supplies,Shirt,22,Female,2979.71,6,0.16,133.0
ORD000199,2025-08-18,West,Canada,Furniture,Table,43,Female,4698.13,6,0.06,801.85
ORD000200,2022-03-03,South,India,Electronics,Table,36,Female,2264.93,3,0.35,29.83
ORD000201,2022-11-29,South,Bangladesh,Electronics,Table,54,Male,3337.53,5,0.34,560.54
ORD000202,2023-04-09,South,UK,Clothing,Printer,64,Female,2101.85,5,0.34,1012.93
ORD000203,2023-07-13,East,USA,Furniture,Table,31,Male,4048.3,3,0.14,533.07
ORD000204,2022-07-15,North,USA,Clothing,Shirt,64,Male,2183.94,5,0.34,1177.92
ORD000205,2022-08-13,North,USA,Electronics,Phone,60,Male,3801.41,3,0.08,305.72
ORD000206,2025-05-14,North,India,Office Supplies,Chair,31,Male,3373.51,8,0.19,399.31
ORD000207,2025-05-10,West,UK,Electronics,Laptop,19,Male,3198.25,4,0.02,187.09
ORD000208,2025-10-18,South,Canada,Office Supplies,Table,49,Male,3610.86,4,0.03,342.32
ORD000209,2023-12-16,North,India,Electronics,Chair,21,Female,3864.35,8,0.01,217.64
ORD000210,2024-01-24,East,Canada,Furniture,Printer,56,Male,3541.88,7,0.08,688.57
ORD000211,2022-02-07,South,India,Furniture,Chair,21,Female,4852.37,2,0.24,1208.57
ORD000212,2025-12-01,West,Bangladesh,Furniture,Phone,37,Male,148.82,6,0.38,1407.84
ORD000213,2024-10-02,South,India,Furniture,Laptop,24,Male,1792.22,7,0.16,755.09
ORD000214,2025-09-18,East,India,Office Supplies,Printer,31,Female,2734.3,5,0.12,933.98
ORD000215,2025-10-31,West,UK,Furniture,Chair,47,Male,4719.89,8,0.34,1461.84
ORD000216,2025-11-12,South,Bangladesh,Office Supplies,Chair,57,Male,1615.6,1,0.26,979.45
ORD000217,2022-04-27,South,USA,Furniture,Printer,41,Male,4491.06,2,0.05,833.27
ORD000218,2023-05-12,West,India,Furniture,Chair,36,Female,2720.63,8,0.23,825.27
ORD000219,2025-04-14,East,Canada,Office Supplies,Printer,47,Female,4841.17,4,0.16,496.15
ORD000220,2023-05-20,East,USA,Office Supplies,Laptop,46,Female,3936.99,5,0.39,73.76
ORD000221,2023-10-17,East,India,Furniture,Table,36,Female,2590.18,8,0.14,52.65
ORD000222,2024-01-03,West,India,Clothing,Shirt,46,Male,1373.04,6,0.29,610.61
ORD000223,2023-10-20,West,Canada,Furniture,Laptop,22,Male,2123.32,6,0.18,1418.97
ORD000224,2024-03-07,West,UK,Electronics,Laptop,19,Female,767.39,6,0.15,1376.27
ORD000225,2023-09-30,South,Bangladesh,Electronics,Printer,45,Female,3051.89,6,0.25,209.96
ORD000226,2022-06-15,East,Bangladesh,Clothing,Chair,41,Male,2660.26,9,0.31,393.03
ORD000227,2023-01-21,East,Bangladesh,Office Supplies,Printer,30,Male,3745.44,7,0.23,1207.99
ORD000228,2023-01-28,South,UK,Office Supplies,Printer,48,Female,4520.51,8,0.31,1393.07
ORD000229,2022-02-01,West,UK,Electronics,Chair,27,Female,910.2,7,0.05,373.42
ORD000230,2023-04-18,West,India,Electronics,Chair,35,Male,778.56,3,0.19,339.3
ORD000231,2022-04-24,East,UK,Electronics,Chair,58,Female,4074.36,5,0.36,796.27
ORD000232,2023-08-09,East,USA,Electronics,Laptop,39,Female,4141.58,3,0.33,228.71
ORD000233,2023-01-24,East,India,Clothing,Printer,39,Female,1899.73,9,0.12,-166.52
ORD000234,2022-08-04,South,UK,Office Supplies,Laptop,56,Female,4566.65,4,0.24,1371.57
ORD000235,2023-04-23,South,UK,Office Supplies,Printer,55,Male,3857.88,1,0.26,651.25
ORD000236,2022-08-08,South,UK,Office Supplies,Table,42,Female,2817.04,3,0.08,634.36
ORD000237,2022-01-10,South,Canada,Electronics,Table,40,Female,3350.82,5,0.18,585.85
ORD000238,2022-11-20,East,USA,Clothing,Chair,50,Male,1858.95,2,0.15,-106.12
ORD000239,2022-08-12,South,Bangladesh,Furniture,Shirt,49,Female,4124.35,5,0.13,126.79
ORD000240,2022-05-12,North,USA,Furniture,Table,57,Female,2898.52,9,0.2,43.03
ORD000241,2023-02-05,East,India,Furniture,Printer,35,Female,1153.55,1,0.07,1121.48
ORD000242,2024-06-29,North,India,Office Supplies,Laptop,22,Male,2052.78,4,0.37,1063.22
ORD000243,2022-12-09,South,UK,Clothing,Shirt,22,Female,4898.7,9,0.11,989.04
ORD000244,2023-07-25,East,India,Electronics,Table,57,Male,925.63,8,0.12,1354.88
ORD000245,2023-07-09,East,India,Office Supplies,Chair,51,Male,3757.39,7,0.3,8.72
ORD000246,2025-10-09,West,India,Furniture,Printer,62,Female,2261.36,3,0.07,1419.38
ORD000247,2023-04-17,East,Canada,Office Supplies,Chair,23,Male,3412.13,7,0.24,799.34
ORD000248,2025-03-06,West,USA,Electronics,Table,44,Male,1780.07,7,0.25,1291.7
ORD000249,2023-08-27,West,India,Furniture,Shirt,22,Male,1914.59,6,0.05,296.0
ORD000250,2023-04-08,North,India,Office Supplies,Printer,45,Female,2954.82,4,0.09,920.09
ORD000251,2025-10-05,East,USA,Office Supplies,Phone,21,Female,4461.27,9,0.13,897.3
ORD000252,2023-12-27,South,USA,Clothing,Shirt,64,Male,742.15,3,0.2,375.16
ORD000253,2024-07-16,West,UK,Clothing,Shirt,57,Male,4112.44,2,0.1,1199.78
ORD000254,2023-08-23,South,UK,Clothing,Phone,60,Male,3200.36,6,0.16,-191.27
ORD000255,2022-07-30,East,Bangladesh,Office Supplies,Phone,21,Male,2784.98,3,0.38,-158.46
ORD000256,2025-12-13,East,UK,Electronics,Phone,53,Male,3664.27,5,0.12,1313.64
ORD000257,2022-03-29,East,Bangladesh,Furniture,Phone,28,Female,1395.54,7,0.23,277.83
ORD000258,2023-03-11,East,USA,Clothing,Table,22,Female,4269.53,4,0.31,1152.02
ORD000259,2025-11-29,North,Canada,Electronics,Printer,22,Male,374.67,9,0.16,-177.44
ORD000260,2024-05-11,South,Canada,Clothing,Phone,20,Male,2253.81,4,0.23,1076.2
ORD000261,2025-11-27,North,India,Office Supplies,Shirt,21,Male,2895.87,9,0.32,698.37
ORD000262,2025-09-28,North,Canada,Furniture,Phone,48,Female,961.41,7,0.27,1188.38
ORD000263,2023-06-14,North,UK,Office Supplies,Printer,23,Female,4839.06,5,0.26,975.13
ORD000264,2024-04-29,South,USA,Clothing,Laptop,51,Male,2806.23,8,0.02,255.67
ORD000265,2024-08-03,West,USA,Clothing,Chair,23,Female,4922.75,7,0.34,8.93
ORD000266,2025-03-12,East,USA,Office Supplies,Phone,53,Female,2834.0,6,0.1,1215.25
ORD000267,2024-01-24,East,India,Electronics,Table,20,Male,1397.28,2,0.13,382.93
ORD000268,2024-07-12,West,UK,Clothing,Printer,42,Male,2860.08,4,0.1,894.51
ORD000269,2024-03-04,South,UK,Office Supplies,Printer,52,Male,4726.97,3,0.18,1232.3
ORD000270,2024-07-25,West,India,Office Supplies,Printer,32,Female,4670.77,2,0.05,1121.65
ORD000271,2025-04-06,West,India,Clothing,Shirt,30,Female,1630.2,2,0.23,1078.3
ORD000272,2025-09-03,West,India,Clothing,Printer,23,Female,1037.99,7,0.07,16.84
ORD000273,2025-05-24,North,Canada,Electronics,Printer,45,Female,3489.08,5,0.08,1367.68
ORD000274,2024-09-10,East,India,Electronics,Table,39,Female,3253.23,2,0.01,696.78
ORD000275,2023-06-02,West,USA,Furniture,Laptop,55,Female,928.41,6,0.35,282.63
ORD000276,2025-08-10,South,India,Electronics,Printer,31,Female,156.54,5,0.28,903.97
ORD000277,2025-04-30,East,Bangladesh,Clothing,Shirt,56,Female,2833.23,9,0.31,910.11
ORD000278,2023-08-22,West,Canada,Electronics,Chair,63,Male,3982.82,7,0.22,22.08
ORD000279,2023-09-25,East,Bangladesh,Electronics,Laptop,62,Male,4679.32,4,0.32,1109.27
ORD000280,2025-04-16,North,India,Furniture,Laptop,42,Male,1277.25,9,0.08,1154.59
ORD000281,2023-01-13,West,USA,Furniture,Table,52,Male,2990.9,4,0.38,1281.17
ORD000282,2022-02-19,East,Bangladesh,Electronics,Phone,45,Female,2713.37,3,0.2,-56.23
ORD000283,2025-03-23,South,USA,Furniture,Printer,34,Male,3375.13,9,0.03,1131.47
ORD000284,2022-05-17,South,USA,Office Supplies,Table,22,Female,4779.32,7,0.1,1257.59
ORD000285,2023-03-19,West,UK,Clothing,Chair,56,Female,4657.46,1,0.24,46.93
