Session_ID,Visit_Date,Traffic_Source,Device_Type,Product_Category,Pages_Viewed,Time_Spent_Minutes,Added_To_Cart,Purchase_Made,Order_Value,Customer_Country,Customer_Age
SES000086,2024-12-19,Google,Desktop,Beauty,2,17.94,Yes,Yes,12146.71,USA,64
SES000087,2022-11-29,Facebook,Desktop,Electronics,20,4.9,No,Yes,774.38,Bangladesh,34
SES000088,2023-07-19,Instagram,Mobile,Electronics,11,63.84,Yes,No,14309.02,Germany,51
SES000089,2022-06-07,Instagram,Desktop,Home,28,61.26,Yes,No,25037.74,Canada,38
SES000090,2024-04-02,Facebook,Desktop,Beauty,5,115.84,Yes,No,22378.67,Bangladesh,60
SES000091,2025-06-27,Direct,Desktop,Electronics,20,68.46,No,No,1301.93,Bangladesh,38
SES000092,2025-07-26,YouTube,Desktop,Electronics,14,106.52,Yes,No,308.69,Bangladesh,60
SES000093,2024-07-07,Direct,Tablet,Fashion,22,106.19,Yes,No,17074.78,USA,30
SES000094,2025-08-28,YouTube,Mobile,Fashion,24,70.77,Yes,Yes,483.38,Bangladesh,25
SES000095,2024-12-10,YouTube,Mobile,Home,9,27.79,Yes,No,13698.08,Bangladesh,24
SES000096,2023-08-14,YouTube,Mobile,Home,2,40.61,No,Yes,4309.35,Canada,26
SES000097,2024-09-25,Direct,Tablet,Home,13,62.43,Yes,No,15281.1,Bangladesh,30
SES000098,2024-05-17,Instagram,Mobile,Home,15,33.77,No,No,26843.71,Bangladesh,42
SES000099,2022-01-12,Instagram,Desktop,Fashion,16,35.56,Yes,No,28124.45,Canada,64
SES000100,2025-06-20,Instagram,Desktop,Beauty,24,48.79,No,No,1809.9,Germany,42
SES000101,2023-07-08,YouTube,Desktop,Fashion,20,37.58,No,Yes,12694.7,Germany,22
SES000102,2023-06-14,Instagram,Desktop,Fashion,4,50.36,Yes,No,17118.94,Bangladesh,58
SES000103,2023-09-22,Google,Tablet,Beauty,5,79.78,No,Yes,25672.36,Bangladesh,32
SES000104,2023-11-17,Google,Mobile,Sports,9,116.68,No,Yes,11318.44,India,27
SES000105,2025-03-13,Direct,Desktop,Electronics,19,74.98,Yes,No,6113.62,Germany,53
SES000106,2022-11-03,Facebook,Tablet,Electronics,19,74.05,Yes,Yes,3015.83,Bangladesh,59
SES000107,2022-05-08,Facebook,Tablet,Fashion,26,2.97,No,Yes,29062.0,USA,43
SES000108,2025-03-28,Facebook,Desktop,Home,3,108.57,Yes,No,19843.36,Canada,39
SES000109,2022-03-21,Direct,Mobile,Electronics,4,33.25,No,Yes,1154.57,USA,38
SES000110,2023-08-28,YouTube,Tablet,Fashion,17,77.44,Yes,Yes,23896.01,India,22
SES000111,2024-11-10,Direct,Desktop,Sports,4,94.86,No,No,8540.27,Bangladesh,24
SES000112,2025-05-11,Google,Mobile,Beauty,2,20.38,Yes,No,28276.96,USA,35
SES000113,2022-02-02,YouTube,Mobile,Sports,8,9.0,No,No,8390.69,Germany,47
SES000114,2023-06-11,Direct,Mobile,Home,9,30.29,Yes,No,6767.75,Germany,46
SES000115,2025-06-13,YouTube,Tablet,Sports,8,54.78,No,Yes,10680.07,Germany,56
SES000116,2025-12-08,Facebook,Tablet,Home,28,91.4,Yes,No,9834.77,Canada,64
SES000117,2024-02-08,Direct,Mobile,Fashion,28,88.93,No,No,23740.69,India,58
SES000118,2024-05-06,Instagram,Tablet,Sports,9,49.15,No,No,7582.51,Canada,55
SES000119,2025-11-16,Direct,Desktop,Electronics,6,50.43,No,No,21504.34,Germany,30
SES000120,2024-05-28,Facebook,Mobile,Home,27,32.35,No,Yes,25833.39,Bangladesh,43
SES000121,2024-10-16,YouTube,Mobile,Sports,26,58.91,No,No,14086.76,Germany,26
SES000122,2022-01-29,Instagram,Tablet,Sports,11,13.93,Yes,Yes,9839.33,USA,43
SES000123,2023-09-19,Facebook,Tablet,Beauty,20,51.96,Yes,Yes,3529.48,USA,29
SES000124,2023-07-05,Google,Desktop,Sports,2,35.46,Yes,No,7445.62,USA,35
SES000125,2024-07-07,Google,Tablet,Beauty,24,91.46,No,No,3568.35,Germany,20
SES000126,2023-03-09,Google,Desktop,Sports,22,35.85,Yes,No,1767.04,India,18
SES000127,2022-12-05,Google,Mobile,Beauty,1,64.57,No,No,4012.16,Bangladesh,44
SES000128,2025-05-14,Direct,Desktop,Beauty,13,52.91,Yes,No,19493.09,India,37
SES000129,2024-04-28,Instagram,Tablet,Fashion,23,50.87,No,No,22030.94,Germany,52
SES000130,2022-08-29,Facebook,Mobile,Home,12,94.14,No,No,12055.1,Bangladesh,19
SES000131,2025-01-26,Facebook,Tablet,Fashion,1,115.88,No,Yes,17642.33,Canada,35
SES000132,2024-03-05,Direct,Tablet,Fashion,26,13.04,Yes,Yes,29428.15,India,32
SES000133,2024-12-04,Direct,Mobile,Sports,25,78.98,Yes,No,29631.09,USA,45
SES000134,2025-11-30,Google,Desktop,Sports,8,93.7,Yes,No,15127.67,Bangladesh,54
SES000135,2024-01-19,YouTube,Mobile,Fashion,18,59.18,Yes,Yes,6719.88,USA,50
SES000136,2023-12-23,YouTube,Tablet,Fashion,22,49.22,Yes,No,17377.91,Bangladesh,61
SES000137,2023-08-05,YouTube,Tablet,Fashion,18,11.57,No,Yes,18941.53,Canada,22
SES000138,2024-10-16,Instagram,Desktop,Fashion,26,83.2,Yes,No,7848.76,Bangladesh,56
SES000139,2023-07-05,YouTube,Mobile,Sports,1,31.08,Yes,Yes,21793.19,Canada,31
SES000140,2022-10-30,Google,Mobile,Sports,8,95.4,Yes,Yes,3957.56,Germany,36
SES000141,2024-09-12,Facebook,Mobile,Electronics,2,34.41,No,No,21616.53,Bangladesh,31
SES000142,2022-03-02,YouTube,Mobile,Home,23,47.89,No,No,7900.56,India,32
SES000143,2025-11-20,Direct,Desktop,Home,16,48.05,Yes,Yes,28704.16,USA,42
SES000144,2025-04-21,Facebook,Mobile,Fashion,12,113.4,Yes,Yes,14916.53,Canada,24
SES000145,2022-07-18,Instagram,Desktop,Home,8,93.84,Yes,Yes,18334.7,Germany,37
SES000146,2025-10-04,Facebook,Tablet,Fashion,16,64.18,Yes,No,7891.35,Bangladesh,25
SES000147,2023-04-25,Facebook,Mobile,Beauty,20,5.39,Yes,No,20462.2,Canada,34
SES000148,2025-05-16,Direct,Tablet,Home,24,55.61,No,No,12773.69,Canada,40
SES000149,2022-11-04,YouTube,Desktop,Sports,29,41.7,Yes,No,28462.85,Bangladesh,59
SES000150,2025-06-21,Google,Tablet,Sports,6,34.64,Yes,Yes,12317.45,Canada,49
SES000151,2024-09-26,Instagram,Tablet,Beauty,21,114.17,No,Yes,4759.66,Germany,36
SES000152,2022-02-24,Google,Desktop,Fashion,17,9.35,Yes,No,15383.64,Germany,47
SES000153,2023-04-12,Instagram,Tablet,Electronics,10,60.43,Yes,Yes,4024.84,Canada,26
SES000154,2024-07-30,Facebook,Tablet,Beauty,9,43.19,No,No,5315.77,Germany,60
SES000155,2023-11-05,YouTube,Desktop,Home,29,65.12,Yes,No,3373.25,USA,63
SES000156,2024-08-11,Instagram,Desktop,Beauty,6,33.44,No,No,7505.35,Canada,58
SES000157,2023-07-22,Direct,Tablet,Home,8,104.04,No,No,18662.78,India,52
SES000158,2022-08-02,Instagram,Tablet,Home,21,35.84,No,No,13538.64,Germany,37
SES000159,2024-04-27,Google,Desktop,Electronics,6,42.72,Yes,No,28922.87,Canada,58
SES000160,2025-02-17,YouTube,Mobile,Fashion,10,38.87,Yes,No,14943.19,Canada,41
SES000161,2025-02-01,Facebook,Tablet,Home,1,17.95,Yes,No,13152.51,India,54
SES000162,2022-07-31,Facebook,Desktop,Fashion,23,44.57,Yes,No,390.75,Bangladesh,28
SES000163,2023-11-11,Google,Tablet,Beauty,14,80.28,No,No,14350.74,USA,32
SES000164,2022-04-13,YouTube,Mobile,Electronics,7,109.3,No,No,13751.34,USA,55
SES000165,2022-08-29,Direct,Tablet,Sports,14,82.77,Yes,No,18561.15,Germany,19
SES000166,2025-08-08,Instagram,Mobile,Sports,28,8.69,No,Yes,28663.68,Canada,60
SES000167,2025-06-18,Direct,Mobile,Home,7,34.5,Yes,No,6859.2,Canada,20
SES000168,2022-06-01,Instagram,Tablet,Home,19,111.8,Yes,No,29562.81,Germany,23
SES000169,2025-08-23,Facebook,Mobile,Beauty,9,87.23,Yes,No,1871.2,India,19
SES000170,2025-07-14,Facebook,Mobile,Electronics,8,46.46,No,Yes,6126.88,India,25
SES000171,2022-10-16,Direct,Mobile,Fashion,29,22.83,No,Yes,756.85,Bangladesh,42
SES000172,2022-08-09,Facebook,Tablet,Beauty,23,82.76,No,No,8054.69,Canada,18
SES000173,2024-02-25,Facebook,Mobile,Beauty,11,110.45,No,No,21292.38,India,60
SES000174,2025-05-03,YouTube,Tablet,Home,26,100.39,Yes,No,13735.68,Canada,29
SES000175,2022-04-09,YouTube,Tablet,Fashion,16,113.82,Yes,No,1510.28,India,23
SES000176,2024-11-06,Google,Mobile,Home,15,62.8,Yes,No,14110.17,Bangladesh,54
SES000177,2024-11-26,Direct,Desktop,Electronics,7,42.24,Yes,Yes,16885.0,Canada,33
SES000178,2025-11-30,Facebook,Desktop,Fashion,2,19.81,Yes,No,29835.79,India,48
SES000179,2022-11-12,Google,Tablet,Sports,1,48.92,No,No,14459.46,Germany,38
SES000180,2023-08-15,Facebook,Desktop,Fashion,23,57.1,Yes,No,13770.7,India,48
SES000181,2022-11-23,Direct,Tablet,Sports,5,3.01,No,No,19674.42,India,20
SES000182,2022-12-12,Instagram,Tablet,Sports,19,50.73,No,No,7607.94,Germany,48
SES000183,2022-03-18,Google,Mobile,Home,9,101.92,No,Yes,27852.01,India,22
SES000184,2022-03-04,Instagram,Mobile,Sports,25,83.36,Yes,Yes,14495.3,Germany,47
SES000185,2024-11-21,Direct,Mobile,Sports,23,60.35,Yes,No,2134.01,Germany,43
SES000186,2024-02-22,YouTube,Mobile,Fashion,28,36.84,No,No,29355.68,Bangladesh,30
SES000187,2024-03-03,Direct,Mobile,Home,10,86.25,Yes,No,16634.04,Bangladesh,29
SES000188,2025-01-05,Facebook,Mobile,Sports,20,117.25,No,Yes,14005.29,Germany,27
SES000189,2022-05-15,Instagram,Tablet,Home,5,58.65,Yes,No,6437.15,Bangladesh,60
SES000190,2022-09-25,Facebook,Mobile,Fashion,5,23.95,Yes,No,15790.66,India,39
SES000191,2023-02-13,Google,Tablet,Sports,21,37.46,No,Yes,3006.28,Canada,42
SES000192,2025-10-29,Facebook,Desktop,Sports,26,72.74,Yes,Yes,5315.61,Canada,58
SES000193,2023-04-15,Google,Mobile,Beauty,12,115.94,No,Yes,9679.43,India,44
SES000194,2022-01-09,YouTube,Desktop,Home,14,81.22,No,No,29889.77,Canada,28
SES000195,2022-11-07,Direct,Mobile,Home,24,25.16,Yes,No,13457.43,Germany,46
SES000196,2022-09-04,Google,Desktop,Fashion,23,7.56,Yes,No,13978.54,Bangladesh,55
SES000197,2022-07-15,Facebook,Tablet,Home,25,26.37,Yes,No,25423.36,Canada,37
SES000198,2022-12-13,Facebook,Tablet,Fashion,7,34.35,Yes,No,10657.07,Germany,45
SES000199,2022-04-15,Instagram,Mobile,Home,18,40.83,Yes,Yes,23458.22,Canada,19
SES000200,2024-11-15,Direct,Mobile,Fashion,20,3.5,Yes,No,24190.61,Bangladesh,50
SES000201,2022-09-23,YouTube,Desktop,Electronics,9,112.0,Yes,Yes,15194.13,Germany,53
SES000202,2024-04-26,Google,Mobile,Beauty,22,106.95,No,No,29591.99,India,25
SES000203,2024-01-24,Instagram,Tablet,Electronics,17,75.96,Yes,No,10546.94,Canada,25
SES000204,2022-09-12,Direct,Tablet,Sports,16,66.26,No,No,12059.3,Germany,49
SES000205,2022-03-16,Instagram,Tablet,Fashion,9,103.92,No,Yes,15283.79,Germany,42
SES000206,2023-07-28,Google,Tablet,Electronics,27,54.9,Yes,Yes,17487.82,Bangladesh,59
SES000207,2025-09-05,Google,Mobile,Home,29,109.84,No,Yes,24925.33,USA,57
SES000208,2024-09-18,Direct,Mobile,Home,1,27.81,Yes,Yes,15690.84,Canada,57
SES000209,2024-02-02,Instagram,Tablet,Sports,15,117.11,No,Yes,8447.72,Bangladesh,40
SES000210,2022-05-03,Instagram,Desktop,Home,16,101.76,No,Yes,13739.06,India,26
SES000211,2022-02-27,Direct,Desktop,Home,1,52.67,Yes,No,10797.9,Germany,43
SES000212,2025-06-27,Facebook,Desktop,Electronics,26,119.3,Yes,No,11391.81,Canada,21
SES000213,2025-11-03,Instagram,Tablet,Electronics,4,84.39,Yes,Yes,19504.57,Bangladesh,18
SES000214,2022-11-17,Instagram,Desktop,Electronics,13,29.9,Yes,No,21825.23,Canada,36
SES000215,2022-08-13,Direct,Desktop,Electronics,7,59.29,Yes,No,15459.71,India,51
SES000216,2025-07-16,Direct,Mobile,Home,9,99.98,No,Yes,20700.21,USA,63
SES000217,2022-05-17,Direct,Tablet,Fashion,29,12.77,Yes,Yes,29703.36,Bangladesh,21
SES000218,2025-08-29,Google,Tablet,Electronics,10,89.58,Yes,No,15682.89,India,56
SES000219,2024-03-29,Google,Mobile,Home,3,52.07,Yes,No,16541.05,India,43
SES000220,2025-09-15,YouTube,Desktop,Home,17,77.48,Yes,No,18552.91,India,44
SES000221,2025-11-17,Facebook,Tablet,Sports,27,72.17,Yes,No,8061.74,USA,37
SES000222,2025-05-05,Direct,Mobile,Sports,29,110.37,No,No,26809.71,Bangladesh,35
SES000223,2025-02-13,YouTube,Desktop,Electronics,20,16.96,No,Yes,14413.56,USA,25
SES000224,2025-04-27,Instagram,Desktop,Sports,2,58.4,No,No,26076.44,India,41
SES000225,2024-08-07,Facebook,Tablet,Electronics,19,95.5,Yes,No,9966.54,Germany,57
SES000226,2023-06-01,Instagram,Tablet,Beauty,23,27.75,No,No,14003.89,Bangladesh,32
SES000227,2024-09-22,Direct,Tablet,Sports,23,3.49,No,No,20455.92,USA,23
SES000228,2023-07-08,Google,Mobile,Home,25,98.14,No,No,10795.64,Germany,47
SES000229,2022-07-22,Google,Mobile,Home,13,12.48,Yes,No,14411.19,Germany,39
SES000230,2023-07-13,Instagram,Tablet,Electronics,1,95.18,Yes,No,29866.04,Germany,34
SES000231,2025-03-26,Google,Desktop,Home,23,110.01,Yes,No,16566.8,Bangladesh,50
SES000232,2024-08-07,Facebook,Tablet,Electronics,27,91.86,Yes,No,3028.44,Germany,62
SES000233,2023-04-17,Direct,Mobile,Fashion,15,119.06,Yes,Yes,3422.73,USA,39
SES000234,2022-10-26,YouTube,Mobile,Home,24,40.66,No,No,11517.47,Germany,28
SES000235,2023-01-22,Instagram,Tablet,Beauty,1,9.14,Yes,No,12134.58,Bangladesh,49
SES000236,2023-06-16,Google,Tablet,Fashion,1,68.04,Yes,No,4793.92,USA,32
SES000237,2024-07-31,Facebook,Desktop,Sports,21,50.29,Yes,Yes,19334.88,USA,33
SES000238,2024-11-06,Google,Desktop,Sports,13,107.75,No,Yes,19316.15,Canada,26
SES000239,2024-05-29,Instagram,Mobile,Fashion,1,79.82,Yes,No,13545.1,Bangladesh,26
SES000240,2024-11-19,Instagram,Mobile,Home,28,70.08,Yes,No,21088.82,Bangladesh,32
SES000241,2023-02-09,Google,Mobile,Sports,12,42.3,No,Yes,17214.61,India,50
SES000242,2024-09-12,Facebook,Tablet,Sports,14,39.32,Yes,No,7879.23,Canada,27
SES000243,2023-07-22,Instagram,Mobile,Sports,10,104.7,Yes,Yes,11930.02,India,58
SES000244,2024-03-03,Facebook,Mobile,Electronics,14,80.63,No,No,26584.56,India,32
SES000245,2022-10-01,Facebook,Mobile,Electronics,15,49.88,Yes,No,16.74,Bangladesh,54
SES000246,2024-01-20,Google,Mobile,Electronics,21,21.39,No,No,21526.22,India,54
SES000247,2022-05-18,Instagram,Mobile,Beauty,17,42.76,No,No,15091.11,USA,53
SES000248,2023-04-17,Facebook,Tablet,Beauty,20,74.54,Yes,Yes,15622.44,Bangladesh,38
SES000249,2023-11-03,Direct,Tablet,Beauty,2,3.7,Yes,No,24453.81,India,50
SES000250,2023-02-07,Facebook,Tablet,Sports,28,13.22,Yes,No,23217.37,Canada,42
SES000251,2025-09-30,YouTube,Desktop,Electronics,7,12.22,No,Yes,27851.41,Germany,29
SES000252,2025-08-18,Direct,Desktop,Home,17,119.72,Yes,Yes,668.25,USA,38
SES000253,2023-11-20,Direct,Mobile,Fashion,25,63.7,Yes,No,25456.89,Canada,46
SES000254,2023-02-11,Instagram,Tablet,Sports,19,74.64,Yes,No,29180.55,Bangladesh,24
SES000255,2023-03-13,Instagram,Desktop,Beauty,29,12.86,Yes,Yes,26866.24,USA,46
SES000256,2023-04-17,Direct,Mobile,Home,1,84.46,No,No,246.87,USA,33
SES000257,2024-05-10,Direct,Tablet,Fashion,11,8.08,No,No,20481.12,Canada,22
SES000258,2025-06-25,Facebook,Tablet,Beauty,24,91.5,Yes,Yes,8032.98,Germany,26
SES000259,2023-08-03,Google,Desktop,Sports,29,100.02,Yes,Yes,4858.36,Bangladesh,37
SES000260,2025-01-03,Instagram,Mobile,Beauty,20,48.51,No,No,23071.92,Germany,31
SES000261,2023-01-31,Facebook,Tablet,Home,5,87.08,Yes,No,7693.31,Germany,33
SES000262,2024-09-14,YouTube,Tablet,Sports,20,72.74,Yes,No,12512.45,Canada,45
SES000263,2022-07-29,Direct,Desktop,Sports,9,116.34,No,No,1717.63,USA,54
SES000264,2022-06-21,Direct,Tablet,Home,12,93.28,Yes,Yes,5448.41,Germany,30
SES000265,2025-05-23,Direct,Mobile,Electronics,11,2.94,Yes,No,1095.3,India,45
SES000266,2025-05-01,YouTube,Mobile,Home,1,105.42,Yes,Yes,24234.05,Bangladesh,46
SES000267,2022-06-07,Google,Tablet,Beauty,4,23.5,No,No,8986.02,Bangladesh,38
SES000268,2025-09-09,Instagram,Desktop,Electronics,13,79.25,Yes,No,15668.04,USA,47
SES000269,2025-10-06,Direct,Desktop,Electronics,18,80.33,No,Yes,28006.18,Germany,37
SES000270,2024-04-09,Google,Tablet,Beauty,27,115.25,No,No,4108.47,USA,62
SES000271,2024-01-19,YouTube,Tablet,Fashion,15,75.29,Yes,No,3961.98,India,19
SES000272,2024-04-17,Direct,Mobile,Home,2,60.22,Yes,Yes,22912.71,India,28
SES000273,2022-10-09,Google,Desktop,Fashion,19,49.13,No,Yes,5899.0,India,42
SES000274,2024-08-22,YouTube,Tablet,Home,18,88.97,Yes,No,21903.99,Bangladesh,41
SES000275,2023-01-17,Direct,Desktop,Sports,21,49.47,Yes,Yes,11199.45,Germany,36
SES000276,2024-07-08,YouTube,Desktop,Electronics,11,10.24,Yes,No,8767.91,USA,25
SES000277,2024-05-25,Direct,Desktop,Fashion,3,87.14,No,No,19169.26,Canada,51
SES000278,2022-02-17,Direct,Mobile,Home,21,7.93,No,No,6515.66,USA,45
SES000279,2022-09-26,Direct,Tablet,Beauty,3,6.83,Yes,Yes,28078.11,Canada,57
SES000280,2024-12-27,Facebook,Desktop,Beauty,18,109.4,Yes,No,19570.92,USA,63
SES000281,2024-02-17,Facebook,Desktop,Sports,24,39.89,Yes,Yes,19861.47,Germany,55
SES000282,2025-08-19,Direct,Tablet,Sports,16,18.8,Yes,No,29341.0,Germany,50
SES000283,2024-02-25,YouTube,Mobile,Beauty,15,102.08,No,No,22838.51,India,38
